Pickup Location,Drop Location,Ride Distance,Booking Value,Avg Customer Arrival Time,Driver Ratings,Avg Vehicle Arrival Time,Customer Rating,Hour,Cancelled by Customer,Cancelled by Driver,Completed,Incomplete,No Driver Found,Auto,Bike,Go Mini,Go Sedan,Premier Sedan,Uber XL,eBike,Cash,Credit Card,Debit Card,UPI,Uber Wallet,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
758,3484,1.52,47.98,4.09,3.9,3.06,4.07,8,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3546,873,5.9,63.99,2.43,4.06,2.99,4.02,10,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4733,2583,0.43,32.61,2.43,4.19,2.6,4.3,23,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5202,780,0.64,34.68,7.16,3.69,7.33,3.1,21,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
727,4027,7.33,101.33,4.75,4.04,2.1,4.18,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
798,767,16.0,224.53,2.43,4.02,3.94,3.64,18,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
761,5481,23.77,159.29,3.9,3.95,2.24,4.14,21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
764,3584,18.88,136.85,6.35,3.21,2.66,2.75,10,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4130,4901,11.84,144.21,5.72,3.7,2.57,3.78,10,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
769,802,1.43,37.41,3.94,4.2,2.62,4.32,11,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4744,763,1.93,38.54,2.93,3.82,2.68,3.79,7,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
815,802,2.2,89.94,8.5,4.1,2.66,3.89,20,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
768,5670,13.28,194.97,5.23,4.04,7.63,2.68,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5774,760,8.41,130.16,4.05,4.13,2.61,4.06,17,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
772,793,21.74,362.705,4.55,4.29,2.88,3.99,17,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
749,4966,3.76,84.4,5.48,4.14,3.56,4.13,14,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
769,5670,3.03,43.54,2.8,4.06,2.51,4.26,6,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
811,773,5.14,58.13,5.03,3.41,5.74,2.97,11,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
834,773,8.41,149.34,6.41,4.09,2.14,4.57,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3600,4901,2.78,67.53,5.74,3.31,7.45,2.64,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
727,3584,18.62,184.21,4.8,4.22,2.66,4.2,9,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4733,5174,18.4,139.77,4.5,4.15,2.68,4.2,10,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
784,798,26.93,362.705,4.1,4.04,2.15,3.98,8,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
760,763,2.39,47.87,2.49,3.99,2.95,3.86,7,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
777,2583,3.6,64.1,2.55,4.2,2.2,4.26,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4733,774,5.35,64.29,4.83,3.78,2.21,3.64,7,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
767,802,0.96,32.61,2.58,4.09,1.41,4.29,15,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2730,5174,8.06,173.35,4.13,4.11,1.85,4.06,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
800,749,15.15,177.96,5.81,3.96,1.56,4.23,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4130,4901,4.57,110.7,7.98,3.69,6.76,3.2,10,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
798,808,7.95,196.41,4.25,4.04,1.78,4.99,16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
799,5670,5.12,55.83,4.27,3.96,2.27,3.86,12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
772,4464,5.88,73.22,4.23,3.66,2.19,3.76,7,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5175,3484,3.85,89.94,3.84,4.04,6.06,2.45,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
780,781,6.9,89.11,4.28,3.75,2.88,3.65,13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
774,806,26.93,362.705,3.67,4.08,3.66,3.81,12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3546,752,2.79,40.34,5.17,3.56,7.56,2.58,16,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3716,4966,4.0,102.43,3.64,4.23,2.66,4.48,19,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
740,5481,9.45,99.39,3.9,4.22,3.93,3.99,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
750,763,6.26,85.8,3.91,4.31,2.66,4.64,11,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5592,769,18.34,272.42,4.84,3.97,2.87,4.3,17,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
791,779,5.05,132.88,2.43,4.47,2.94,4.45,17,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3716,707,26.93,255.83,4.82,3.96,1.77,4.05,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5592,807,6.06,138.26,9.34,3.58,7.12,3.06,7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
761,5670,2.85,65.46,8.9,3.05,6.8,2.13,20,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
758,766,2.97,54.5,2.43,4.1,2.81,3.65,19,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
793,5174,2.87,73.13,3.44,4.27,2.18,4.58,10,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
780,809,0.62,39.39,5.75,4.01,7.45,3.15,7,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3716,788,2.76,46.93,2.43,4.46,2.61,4.5,7,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2499,752,1.07,45.53,2.83,3.49,2.79,3.27,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
761,806,6.13,73.22,2.43,4.08,2.49,4.07,19,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5202,3479,3.7,48.74,2.47,4.03,2.18,4.03,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
793,3484,8.11,107.48,3.63,4.05,2.67,4.13,15,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2707,767,11.73,94.88,5.3,4.05,2.92,3.92,21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5175,3479,2.5,53.8,4.56,3.79,2.57,3.6,9,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4744,5481,3.11,98.91,3.21,4.32,1.62,4.86,16,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
749,3484,2.19,49.8,4.05,4.39,1.86,4.67,12,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3600,873,3.52,103.7,3.43,4.58,2.88,4.93,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5117,3484,3.21,43.42,4.42,4.07,2.77,4.29,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
834,3490,19.83,191.62,4.22,3.65,3.09,3.49,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
5774,2773,11.4,135.25,2.52,3.82,2.89,3.62,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5592,4464,23.07,164.94,3.58,4.05,2.71,4.2,13,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3534,815,1.86,67.71,5.31,3.72,5.26,3.22,9,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
782,4966,13.54,185.81,3.85,3.52,2.64,3.28,19,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
751,807,20.52,270.87,4.85,3.65,2.55,3.52,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
777,759,6.19,114.49,3.43,4.54,3.47,4.46,9,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
727,769,9.11,105.58,4.54,3.96,2.63,3.95,7,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4744,4464,0.43,32.61,4.56,3.98,1.86,4.21,15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5774,4901,13.77,248.42,6.83,3.43,7.75,2.54,6,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
800,760,26.93,362.705,5.31,4.59,3.08,4.54,16,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
702,763,2.41,74.52,3.59,4.63,2.01,4.78,8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4130,833,16.01,349.32,3.85,4.27,2.37,4.29,8,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
703,754,5.89,90.41,3.98,4.3,2.62,4.33,21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
800,778,26.93,55.37,3.77,3.66,2.71,3.44,19,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2730,5174,6.69,65.79,2.69,4.23,2.78,4.36,5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
745,3584,9.47,128.0,2.48,4.49,2.95,4.45,16,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
784,773,26.93,362.705,6.95,3.24,5.4,2.78,20,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3546,4464,0.78,37.72,4.56,4.18,2.66,4.15,6,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
794,4870,7.5,73.81,3.75,4.31,1.75,4.36,7,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5117,773,13.38,314.42,5.9,3.19,5.41,2.56,8,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
785,806,1.75,47.73,3.64,4.21,2.97,3.96,18,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
733,807,6.53,82.44,8.02,3.05,4.91,2.46,12,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3600,791,11.11,120.36,3.12,4.14,1.86,4.32,15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
811,790,11.15,130.8,4.04,3.57,2.07,3.51,7,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
761,782,3.84,71.93,3.38,4.22,2.17,4.37,7,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4744,3490,2.53,49.16,8.04,3.06,2.78,2.64,21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5175,754,9.05,137.75,2.62,3.93,7.75,3.83,8,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
772,3479,0.43,39.2,4.48,4.6,1.7,5.0,18,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
811,759,26.93,221.11,4.33,4.11,2.65,4.12,13,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
770,5481,2.42,52.94,3.01,4.27,2.56,4.11,20,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5202,752,18.76,211.44,3.7,3.71,1.64,3.62,22,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4744,799,12.37,141.89,4.38,3.75,2.66,3.49,20,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
779,3490,7.97,181.91,4.43,4.5,3.3,4.52,8,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
764,3584,8.51,98.09,2.67,4.21,2.5,4.12,8,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
811,790,16.7,182.33,5.85,3.82,2.84,3.84,21,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
719,5481,22.13,341.74,5.1,4.29,2.04,4.62,11,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
760,4901,1.93,51.31,2.43,4.04,2.32,3.58,8,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3600,3584,4.43,96.06,3.21,4.58,2.63,4.77,6,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
783,781,24.11,275.44,5.52,4.04,2.1,3.98,4,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
764,2583,2.76,82.58,2.67,4.53,2.77,4.75,6,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
763,773,1.23,49.7,8.92,3.69,6.87,2.95,16,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
800,802,1.03,46.3,2.43,3.94,1.28,4.23,17,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
815,3479,26.93,89.94,8.71,3.26,6.18,2.56,13,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
767,5670,0.73,39.26,2.59,4.69,1.53,5.0,9,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
771,759,8.81,115.39,4.8,3.91,2.22,3.87,14,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
793,5174,26.93,55.92,2.8,4.04,5.82,3.54,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
798,4870,8.91,129.61,4.35,4.04,1.65,3.8,20,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2707,802,3.81,66.64,4.04,4.77,2.66,4.58,16,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
815,2583,15.68,148.3,4.33,3.69,2.33,3.84,12,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
789,782,8.11,86.8,3.8,3.67,3.12,3.65,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
801,3484,2.24,45.91,3.61,4.25,1.96,4.45,8,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
757,797,8.03,185.34,4.97,4.04,2.06,4.35,9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
3600,4870,2.28,40.13,4.17,4.17,2.87,4.18,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5175,2740,1.57,52.88,3.25,4.57,1.9,4.54,22,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3546,5174,1.76,54.46,3.93,4.42,1.61,4.91,21,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3546,4027,10.76,132.4,3.53,4.15,1.89,4.15,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
780,5670,6.04,89.94,4.7,3.95,2.87,3.92,19,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
739,3584,2.3,39.71,3.89,4.34,2.45,4.2,14,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
772,5481,1.05,43.19,4.48,4.3,1.28,4.45,4,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4744,806,1.52,43.19,2.43,4.12,2.26,4.18,17,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
770,3479,10.36,87.4,4.5,4.15,2.16,3.87,21,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3716,4901,5.09,97.9,3.96,4.33,3.2,4.4,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3534,768,0.56,34.23,2.89,4.27,3.64,4.05,20,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3716,765,9.64,107.89,4.23,4.0,3.18,3.64,20,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5774,769,17.53,181.33,5.47,3.89,2.83,4.09,15,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
813,2583,12.04,267.22,3.61,4.34,3.3,4.34,18,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
761,818,4.15,63.83,3.66,4.19,2.66,4.3,16,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5592,761,5.34,88.53,4.41,3.89,2.07,3.94,18,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4744,778,9.22,87.77,4.16,3.85,2.91,3.79,6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5774,769,11.05,89.94,4.25,4.18,2.31,4.64,6,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4130,747,7.93,114.73,3.21,3.98,2.98,3.94,8,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4130,5670,4.09,93.85,9.46,3.23,5.18,2.63,16,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
759,2583,14.54,120.15,4.28,4.12,2.48,4.29,14,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5175,789,15.11,210.92,4.85,4.04,2.2,3.91,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
788,785,1.62,39.59,6.86,3.36,2.66,2.71,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4733,4901,2.02,59.05,4.63,4.08,1.36,4.28,20,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
770,824,16.6,213.64,4.02,3.67,2.22,3.51,8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
774,4464,9.29,238.3,4.28,3.79,7.04,3.11,16,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
777,5174,19.2,202.94,4.89,3.97,3.42,3.78,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
746,818,12.89,220.83,5.39,4.06,2.66,4.55,7,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
702,802,2.45,98.53,2.98,4.53,2.7,4.81,9,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
777,783,0.95,49.05,7.64,3.71,7.75,2.51,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
